fips_code,duration_h_mean,duration_h_max,duration_h_sum,max_outage_rate_mean,max_outage_rate_max,mean_outage_rate_mean,PSVI_score,PSVI_rating
5061,12.84150327,130.75,1964.75,0.01564565,0.3932599,0.009001814,0.052105748,Severe
5063,6.835078534,49.5,1305.5,0.011483931,0.480220571,0.006800337,0.03679867,Major
5065,13.36111111,159.5,2044.25,0.016595548,0.246809455,0.011514165,0.053167536,Severe
5067,27.06034483,184.75,2354.25,0.033383235,0.248712288,0.023868172,0.066572131,Extreme
5069,5.083044983,64.75,1469,0.007949645,0.165256695,0.005038599,0.03497214,Major
5071,9.473529412,54.25,805.25,0.0115694,0.166062516,0.009662274,0.023675821,Moderate
5073,14.97701149,96.75,1303,0.019462326,0.45201291,0.011593937,0.040562795,Severe
5075,9.72260274,65,1419.5,0.016754502,0.324574727,0.011700951,0.039593823,Severe
5077,11.54441624,74.75,2274.25,0.021658373,0.525192844,0.01429597,0.060867013,Extreme
5079,91.96666667,486.5,2759,0.012291379,0.120885201,0.007954424,0.074956739,Extreme
5081,9.91875,63.5,1983.75,0.025681313,0.57947335,0.014908717,0.056555423,Extreme
5083,6.457482993,33.75,949.25,0.014334793,0.169761606,0.01071197,0.026717862,Moderate
5085,3.793333333,24.25,853.5,0.008767537,0.1349671,0.006967597,0.022073966,Moderate
5087,6.986,58,873.25,0.031042116,0.325140147,0.022930132,0.034050072,Major
5089,9.144230769,106.5,1426.5,0.022020333,0.884155018,0.012412616,0.049478069,Severe
5091,4.578671329,57.75,1309.5,0.01730864,0.419414317,0.010604397,0.038216672,Severe
5093,8.079365079,55.5,1018,0.011187222,0.099023649,0.007503634,0.026372659,Moderate
5095,10.61695906,77.5,1815.5,0.020222488,0.208715273,0.012844147,0.047098374,Severe
5097,16.2244898,118.75,2385,0.023108741,0.246843976,0.013786129,0.06078098,Extreme
5099,33.77702703,203,2499.5,0.027004162,0.247320925,0.01783767,0.067479399,Extreme
5101,16.2975,143.25,1629.75,0.011646528,0.363029757,0.009337395,0.044831346,Severe
5103,9.245689655,48.75,1072.5,0.007219821,0.083889843,0.004585777,0.025656718,Moderate
5105,14.90526316,85,1416,0.02638066,0.25061627,0.019747047,0.042973695,Severe
5107,9.358465608,64.75,1768.75,0.010496921,0.109282423,0.007051392,0.041209794,Severe
5109,25.22554348,152.5,2320.75,0.020973865,0.164889706,0.012763379,0.058951522,Extreme
5111,8.301136364,75.5,1461,0.012627717,0.151342789,0.009038379,0.036857951,Major
5113,9.346491228,52.25,532.75,0.009827135,0.114180929,0.008096014,0.016905847,Minor
5115,4.721354167,41.5,906.5,0.006566729,0.116220269,0.004906949,0.022420726,Moderate
5117,9.913978495,83.5,1844,0.013906611,0.204950266,0.008806112,0.045536427,Severe
5119,3.326086957,57.75,918,0.004687284,0.045743439,0.003330543,0.02132059,Moderate
5121,36.44811321,222.5,1931.75,0.018656119,0.347865814,0.011909595,0.0553033,Extreme
5123,6.562256809,44.25,1686.5,0.009278871,0.092957303,0.006205901,0.038331397,Severe
5125,3.664974619,29.5,722,0.008417027,0.103623618,0.005962075,0.018924591,Moderate
5127,12.81875,87.75,1538.25,0.03968254,0.530052265,0.028179882,0.053678991,Severe
