SCHOOL_YEAR,SCH_NAME,LEA_NAME,STATE,ST,MCITY,MSTATE,NCESSCH,SCHID,LAT,LON,LOCALE
2023-2024,IDALOU H S,IDALOU ISD,TEXAS,TX,IDALOU,TX,482412002688,4802688,33.661761,-101.683367,42
2023-2024,INDUSTRIAL H S,INDUSTRIAL ISD,TEXAS,TX,VANDERBILT,TX,482415002690,4802690,28.819508,-96.615655,42
2023-2024,INGLESIDE H S,INGLESIDE ISD,TEXAS,TX,INGLESIDE,TX,482418002697,4802697,27.876846,-97.218822,41
2023-2024,INGRAM TOM MOORE H S,INGRAM ISD,TEXAS,TX,INGRAM,TX,482421005510,4805510,30.074421,-99.252053,33
2023-2024,IOWA PARK H S,IOWA PARK CISD,TEXAS,TX,IOWA PARK,TX,482426002703,4802703,33.964131,-98.69383,31
2023-2024,IRAAN H S,IRAAN-SHEFFIELD COLLEGIATE ISD,TEXAS,TX,IRAAN,TX,482433002710,4802710,30.909167,-101.9009,43
2023-2024,IRVING H S,IRVING ISD,TEXAS,TX,IRVING,TX,482442002726,4802726,32.825,-96.95,11
2023-2024,MACARTHUR H S,IRVING ISD,TEXAS,TX,IRVING,TX,482442002733,4802733,32.85365,-96.957718,11
2023-2024,NIMITZ H S,IRVING ISD,TEXAS,TX,IRVING,TX,482442002734,4802734,32.7925,-96.9466,11
2023-2024,BARBARA CARDWELL CAREER PREPARATORY CENTER,IRVING ISD,TEXAS,TX,IRVING,TX,482442006275,4806275,32.8218,-96.9454,11
2023-2024,JACK E SINGLEY ACADEMY,IRVING ISD,TEXAS,TX,IRVING,TX,482442008525,4808525,32.867559,-96.962516,11
2023-2024,ITASCA H S,ITASCA ISD,TEXAS,TX,ITASCA,TX,482448002743,4802743,32.1645,-97.1453,42
2023-2024,JACKSBORO H S,JACKSBORO ISD,TEXAS,TX,JACKSBORO,TX,482453002746,4802746,33.229505,-98.170521,43
2023-2024,JACKSONVILLE H S,JACKSONVILLE ISD,TEXAS,TX,JACKSONVILLE,TX,482459002750,4802750,31.9534,-95.2508,41
2023-2024,JARRELL H S,JARRELL ISD,TEXAS,TX,JARRELL,TX,482460002756,4802756,30.818644,-97.62837,41
2023-2024,JASPER H S,JASPER ISD,TEXAS,TX,JASPER,TX,482463002758,4802758,30.9026,-94.0063,33
2023-2024,JEFFERSON H S,JEFFERSON ISD,TEXAS,TX,JEFFERSON,TX,482473002764,4802764,32.7761,-94.3608,42
2023-2024,HEBBRONVILLE H S,JIM HOGG COUNTY ISD,TEXAS,TX,HEBBRONVILLE,TX,482475002768,4802768,27.31818,-98.680314,43
2023-2024,JIM NED H S,JIM NED CISD,TEXAS,TX,TUSCOLA,TX,482478002771,4802771,32.214,-99.7971,42
2023-2024,LYNDON B JOHNSON H S,JOHNSON CITY ISD,TEXAS,TX,JOHNSON CITY,TX,482484002777,4802777,30.283898,-98.414755,42
2023-2024,JOSHUA H S,JOSHUA ISD,TEXAS,TX,JOSHUA,TX,482493002781,4802781,32.451048,-97.383024,31
2023-2024,NEW HORIZON H S,JOSHUA ISD,TEXAS,TX,JOSHUA,TX,482493007013,4807013,32.446894,-97.383288,31
2023-2024,JOURDANTON H S,JOURDANTON ISD,TEXAS,TX,JOURDANTON,TX,482496002785,4802785,28.908788,-98.541441,32
2023-2024,JUDSON H S,JUDSON ISD,TEXAS,TX,CONVERSE,TX,482499002789,4802789,29.509352,-98.304391,21
2023-2024,JUDSON LEARNING ACAD,JUDSON ISD,TEXAS,TX,SAN ANTONIO,TX,482499006128,4806128,29.469112,-98.387064,21
2023-2024,KAREN WAGNER H S,JUDSON ISD,TEXAS,TX,SAN ANTONIO,TX,482499010445,4810445,29.456676,-98.356894,21
2023-2024,JUDSON EARLY COLLEGE ACADEMY,JUDSON ISD,TEXAS,TX,LIVE OAK,TX,482499012011,4812011,29.548526,-98.325762,21
2023-2024,VETERANS MEMORIAL H S,JUDSON ISD,TEXAS,TX,SAN ANTONIO,TX,482499012976,4812976,29.609409,-98.337409,41
2023-2024,JUNCTION H S,JUNCTION ISD,TEXAS,TX,JUNCTION,TX,482502002796,4802796,30.487921,-99.77796,43
2023-2024,KARNES CITY H S,KARNES CITY ISD,TEXAS,TX,KARNES CITY,TX,482514002803,4802803,28.888043,-97.891171,43
2023-2024,KATY H S,KATY ISD,TEXAS,TX,KATY,TX,482517002809,4802809,29.783502,-95.833407,21
2023-2024,TAYLOR H S,KATY ISD,TEXAS,TX,KATY,TX,482517005518,4805518,29.776983,-95.731864,21
2023-2024,MAYDE CREEK H S,KATY ISD,TEXAS,TX,HOUSTON,TX,482517006001,4806001,29.806473,-95.695341,21
2023-2024,CINCO RANCH H S,KATY ISD,TEXAS,TX,KATY,TX,482517008271,4808271,29.745949,-95.779996,21
2023-2024,ARTHUR MILLER CAREER CENTER,KATY ISD,TEXAS,TX,KATY,TX,482517008625,4808625,29.795863,-95.809021,21
2023-2024,MORTON RANCH H S,KATY ISD,TEXAS,TX,KATY,TX,482517010759,4810759,29.803847,-95.745073,21
2023-2024,SEVEN LAKES H S,KATY ISD,TEXAS,TX,KATY,TX,482517010760,4810760,29.7079,-95.8075,21
2023-2024,TOMPKINS H S,KATY ISD,TEXAS,TX,KATY,TX,482517011271,4811271,29.733371,-95.813825,21
2023-2024,PAETOW H S,KATY ISD,TEXAS,TX,KATY,TX,482517012984,4812984,29.844969,-95.776726,21
2023-2024,JORDAN H S,KATY ISD,TEXAS,TX,KATY,TX,482517013663,4813663,29.721634,-95.854164,21
